PId,Age,Season,Pref
1,adult,fall,strawberry
1,adult,winter,strawberry
1,adult,spring,strawberry
1,adult,summer,strawberry
2,adult,fall,strawberry
2,adult,winter,chocolate
2,adult,spring,strawberry
2,adult,summer,chocolate
3,adult,fall,chocolate
3,adult,winter,chocolate
3,adult,spring,strawberry
3,adult,summer,strawberry
4,adult,fall,chocolate
4,adult,winter,strawberry
4,adult,spring,strawberry
4,adult,summer,strawberry
5,adult,fall,vanilla
5,adult,winter,chocolate
5,adult,spring,strawberry
5,adult,summer,vanilla
6,adult,fall,strawberry
6,adult,winter,chocolate
6,adult,spring,strawberry
6,adult,summer,chocolate
7,adult,fall,chocolate
7,adult,winter,vanilla
7,adult,spring,strawberry
7,adult,summer,vanilla
8,adult,fall,vanilla
8,adult,winter,chocolate
8,adult,spring,strawberry
8,adult,summer,vanilla
9,adult,fall,vanilla
9,adult,winter,vanilla
9,adult,spring,vanilla
9,adult,summer,vanilla
10,adult,fall,vanilla
10,adult,winter,strawberry
10,adult,spring,chocolate
10,adult,summer,vanilla
11,adult,fall,vanilla
11,adult,winter,vanilla
11,adult,spring,strawberry
11,adult,summer,chocolate
12,adult,fall,strawberry
12,adult,winter,chocolate
12,adult,spring,strawberry
12,adult,summer,strawberry
13,adult,fall,vanilla
13,adult,winter,chocolate
13,adult,spring,strawberry
13,adult,summer,strawberry
14,adult,fall,strawberry
14,adult,winter,chocolate
14,adult,spring,strawberry
14,adult,summer,chocolate
15,adult,fall,strawberry
15,adult,winter,chocolate
15,adult,spring,strawberry
15,adult,summer,chocolate
16,adult,fall,strawberry
16,adult,winter,vanilla
16,adult,spring,strawberry
16,adult,summer,strawberry
17,adult,fall,vanilla
17,adult,winter,vanilla
17,adult,spring,strawberry
17,adult,summer,vanilla
18,adult,fall,chocolate
18,adult,winter,vanilla
18,adult,spring,strawberry
18,adult,summer,vanilla
19,adult,fall,vanilla
19,adult,winter,chocolate
19,adult,spring,strawberry
19,adult,summer,strawberry
20,adult,fall,vanilla
20,adult,winter,vanilla
20,adult,spring,vanilla
20,adult,summer,strawberry
21,child,fall,chocolate
21,child,winter,chocolate
21,child,spring,vanilla
21,child,summer,vanilla
22,child,fall,chocolate
22,child,winter,vanilla
22,child,spring,vanilla
22,child,summer,vanilla
23,child,fall,chocolate
23,child,winter,strawberry
23,child,spring,vanilla
23,child,summer,chocolate
24,child,fall,chocolate
24,child,winter,chocolate
24,child,spring,vanilla
24,child,summer,vanilla
25,child,fall,chocolate
25,child,winter,strawberry
25,child,spring,vanilla
25,child,summer,vanilla
26,child,fall,chocolate
26,child,winter,strawberry
26,child,spring,strawberry
26,child,summer,chocolate
27,child,fall,chocolate
27,child,winter,strawberry
27,child,spring,vanilla
27,child,summer,chocolate
28,child,fall,vanilla
28,child,winter,chocolate
28,child,spring,vanilla
28,child,summer,strawberry
29,child,fall,vanilla
29,child,winter,chocolate
29,child,spring,strawberry
29,child,summer,strawberry
30,child,fall,vanilla
30,child,winter,strawberry
30,child,spring,chocolate
30,child,summer,vanilla
31,child,fall,chocolate
31,child,winter,strawberry
31,child,spring,chocolate
31,child,summer,vanilla
32,child,fall,chocolate
32,child,winter,chocolate
32,child,spring,strawberry
32,child,summer,chocolate
33,child,fall,chocolate
33,child,winter,chocolate
33,child,spring,vanilla
33,child,summer,vanilla
34,child,fall,vanilla
34,child,winter,chocolate
34,child,spring,vanilla
34,child,summer,strawberry
35,child,fall,strawberry
35,child,winter,strawberry
35,child,spring,vanilla
35,child,summer,chocolate
36,child,fall,chocolate
36,child,winter,vanilla
36,child,spring,vanilla
36,child,summer,vanilla
37,child,fall,chocolate
37,child,winter,chocolate
37,child,spring,chocolate
37,child,summer,chocolate
38,child,fall,vanilla
38,child,winter,vanilla
38,child,spring,chocolate
38,child,summer,strawberry
39,child,fall,chocolate
39,child,winter,chocolate
39,child,spring,strawberry
39,child,summer,chocolate
40,child,fall,vanilla
40,child,winter,vanilla
40,child,spring,vanilla
40,child,summer,chocolate
